state,event_type,county,date,time,in_direct,in_indirect,deaths_direct,deaths_indirect,f_scale,length,location,damage_property,damage_crops,f_scale_values
SOUTH CAROLINA,Tornado,OCONEE,10/14/2014,7:11:00,0,0,0,0,EF0,0.89,MADISON,$0.00 ,$0.00 ,0
SOUTH CAROLINA,Tornado,GREENVILLE,10/14/2014,19:00:00,0,0,0,0,EF0,1,GOWENSVILLE,"$1,000.00 ",$0.00 ,0
VIRGINIA,Tornado,LOUDOUN,5/16/2014,2:31:00,0,0,0,0,EF0,0.4,SUNNY BANK,$0.00 ,"$5,000.00 ",0
NORTH DAKOTA,Tornado,BARNES,9/4/2014,2:26:00,0,0,0,0,EF0,1.05,HASTINGS,$0.00 ,$0.00 ,0
NORTH CAROLINA,Tornado,DUPLIN,9/8/2014,15:45:00,1,0,0,0,EF2,0.15,CHARITY,"$200,000.00 ",$0.00 ,2
MISSOURI,Tornado,HOLT,9/9/2014,18:35:00,0,0,0,0,EF0,0.08,MAITLAND,$0.00 ,$0.00 ,0
MASSACHUSETTS,Tornado,WORCESTER,8/31/2014,19:10:00,0,0,0,0,EF0,2.06,SOUTH WORCESTER,"$100,000.00 ",$0.00 ,0
MONTANA,Tornado,BLAINE,7/31/2014,16:10:00,0,0,0,0,EF0,0.1,COBURG,$0.00 ,$0.00 ,0
MISSOURI,Tornado,HOLT,9/9/2014,18:40:00,0,0,0,0,EF0,0.11,MAITLAND,$0.00 ,$0.00 ,0
SOUTH CAROLINA,Tornado,ORANGEBURG,9/7/2014,13:27:00,0,0,0,0,EF0,0.43,VANCE,"$6,000.00 ","$2,000.00 ",0
ARKANSAS,Tornado,LITTLE RIVER,10/13/2014,4:43:00,0,0,0,0,EF0,0.09,OAK HILL,"$10,000.00 ",$0.00 ,0
ALABAMA,Tornado,MARION,10/13/2014,15:43:00,0,0,0,0,EF0,6.01,BEXAR,$0.00 ,$0.00 ,0
MISSOURI,Tornado,DE KALB,9/9/2014,21:22:00,0,0,0,0,EF0,0.75,FAIRPORT,$0.00 ,$0.00 ,0
OKLAHOMA,Tornado,CRAIG,9/1/2014,18:41:00,0,0,0,0,EF0,0.2,WELCH,$0.00 ,$0.00 ,0
ALABAMA,Tornado,LAMAR,10/13/2014,17:48:00,0,0,0,0,EF0,1.08,BEAVERTON,$0.00 ,$0.00 ,0
KANSAS,Tornado,GOVE,6/29/2014,5:05:00,0,0,0,0,EF1,1,GOVE,"$50,000.00 ",$0.00 ,1
OHIO,Tornado,SUMMIT,9/10/2014,16:22:00,0,0,0,0,EF0,0.47,STOW,"$100,000.00 ",$0.00 ,0
OHIO,Tornado,PORTAGE,9/10/2014,16:29:00,0,0,0,0,EF0,0.96,EARLVILLE,"$40,000.00 ",$0.00 ,0
MISSOURI,Tornado,ADAIR,9/10/2014,1:40:00,0,0,0,0,EF1,18.27,PURE AIR,$0.00 ,$0.00 ,1
SOUTH DAKOTA,Tornado,HYDE,6/18/2014,17:05:00,0,0,0,0,EF1,0.73,STEPHAN,$0.00 ,$0.00 ,1
SOUTH DAKOTA,Tornado,BUFFALO,6/18/2014,17:07:00,0,0,0,0,EF0,2,FT THOMPSON,$0.00 ,$0.00 ,0
NEVADA,Tornado,NYE,9/20/2014,16:00:00,0,0,0,0,EF0,0.4,BELMONT,$0.00 ,$0.00 ,0
NORTH DAKOTA,Tornado,CASS,9/4/2014,3:17:00,0,0,0,0,EF1,11.64,LEONARD,$0.00 ,$0.00 ,1
OHIO,Tornado,PORTAGE,9/10/2014,16:34:00,0,0,0,0,EF0,0.1,RAVENNA PRTGE CO ARP,"$5,000.00 ",$0.00 ,0
TENNESSEE,Tornado,CLAIBORNE,7/27/2014,16:59:00,0,0,0,0,EF3,1.81,SPEEDWELL,$0.00 ,$0.00 ,3
NORTH CAROLINA,Tornado,CRAVEN,4/29/2014,13:25:00,0,0,0,0,EF0,0.04,COVE CITY,$0.00 ,$0.00 ,0
NORTH CAROLINA,Tornado,GREENE,4/29/2014,18:49:00,0,0,0,0,EF0,0.02,SHINES XRDS,$0.00 ,$0.00 ,0
TENNESSEE,Tornado,MONTGOMERY,10/13/2014,17:09:00,0,0,0,0,EF1,4.18,EXCELL,"$50,000.00 ",$0.00 ,1
WASHINGTON,Tornado,PIERCE,4/27/2014,16:30:00,0,0,0,0,EF0,0.2,EATONVILLE,"$5,000.00 ",$0.00 ,0
OHIO,Tornado,PORTAGE,9/10/2014,16:54:00,0,0,0,0,EF0,0.76,HIRAM RAPIDS,"$15,000.00 ",$0.00 ,0
MISSOURI,Tornado,LAWRENCE,10/13/2014,5:58:00,0,0,0,0,EF0,0.07,SPENCER,"$5,000.00 ",$0.00 ,0
ALABAMA,Tornado,MARSHALL,10/3/2014,3:02:00,0,0,0,0,EF0,0.48,POPLAR SPGS,$0.00 ,$0.00 ,0
ALABAMA,Tornado,MADISON,10/3/2014,2:12:00,0,0,0,0,EF0,0.7,REDSTONE AAF,$0.00 ,$0.00 ,0
LOUISIANA,Tornado,DE SOTO,10/13/2014,8:00:00,0,0,0,0,EF1,0.9,TRENTON,$0.00 ,$0.00 ,1
IDAHO,Tornado,CUSTER,8/20/2014,12:45:00,0,0,0,0,EF0,0.1,MACKAY,$0.00 ,$0.00 ,0
MISSOURI,Tornado,STONE,10/13/2014,5:25:00,0,0,0,0,EF1,0.09,BLUE EYE,"$5,000.00 ",$0.00 ,1
MISSOURI,Tornado,GREENE,10/13/2014,6:20:00,0,0,0,0,EF0,0.43,ASH GROVE,$0.00 ,$0.00 ,0
KANSAS,Tornado,RUSSELL,8/28/2014,17:30:00,0,0,0,0,EF1,2,MILBERGER,$0.00 ,$0.00 ,1
LOUISIANA,Tornado,DE SOTO,9/2/2014,13:09:00,0,0,0,0,EF1,3.6,CARMEL,"$250,000.00 ",$0.00 ,1
KANSAS,Tornado,SHERMAN,6/27/2014,15:40:00,0,0,0,0,EF0,1,EDSON,$0.00 ,$0.00 ,0
KANSAS,Tornado,THOMAS,6/27/2014,16:44:00,0,0,0,0,EF0,2,BREWSTER,$0.00 ,$0.00 ,0
TENNESSEE,Tornado,HICKMAN,10/10/2014,19:35:00,0,1,0,0,EF1,1.97,WRIGLEY,"$200,000.00 ",$0.00 ,1
LOUISIANA,Tornado,OUACHITA,10/13/2014,10:11:00,0,0,0,0,EF1,0.7,OKALOOSA,"$250,000.00 ",$0.00 ,1
TEXAS,Tornado,UPSHUR,10/13/2014,3:52:00,0,0,0,0,EF1,5.8,ENON,"$1,000,000.00 ",$0.00 ,1
MISSISSIPPI,Tornado,MARION,12/23/2014,14:20:00,50,0,3,0,EF3,12.51,COLUMBIA,"$25,000,000.00 ",$0.00 ,3
MISSISSIPPI,Tornado,CHICKASAW,6/12/2014,21:30:00,1,0,0,0,EF1,1.29,OKOLONA,"$100,000.00 ",$0.00 ,1
KANSAS,Tornado,NEMAHA,6/3/2014,21:30:00,2,0,0,0,EF3,6.33,BERN,$0.00 ,$0.00 ,3
MISSISSIPPI,Tornado,JONES,12/23/2014,15:22:00,0,0,2,0,EF2,5.89,SERVICE,"$2,200,000.00 ",$0.00 ,2
GEORGIA,Tornado,CHEROKEE,1/11/2014,7:37:00,0,0,0,0,EF0,2.9,WALESKA,"$3,000.00 ",$0.00 ,0
TENNESSEE,Tornado,MOORE,2/20/2014,21:53:00,0,0,0,0,EF1,1.64,MARBLE HILL,$0.00 ,$0.00 ,1
TENNESSEE,Tornado,FRANKLIN,2/20/2014,22:08:00,0,0,0,0,EF1,1.05,TAYLORTOWN,$0.00 ,$0.00 ,1
GEORGIA,Tornado,TIFT,2/21/2014,8:29:00,0,0,0,0,EF0,2.22,HILLSDALE,"$100,000.00 ",$0.00 ,0
ALABAMA,Tornado,LAUDERDALE,2/20/2014,20:51:00,0,0,0,0,EF1,1.82,WHEELER LAKE SOUTH,$0.00 ,$0.00 ,1
