state,event_type,county,date,time,in_direct,in_indirect,deaths_direct,deaths_indirect,f_scale,length,location,damage_property,damage_crops,f_scale_values
TENNESSEE,Tornado,ANDERSON,6/24/2011,0:00:00,0,0,0,0,EF1,1.5,OAK RIDGE,"$50,000.00 ",$0.00 ,1
TENNESSEE,Tornado,DEKALB,5/26/2011,0:00:00,0,0,0,0,EF0,1.93,SMITHVILLE,"$100,000.00 ",$0.00 ,0
GEORGIA,Tornado,MONROE,4/28/2011,0:00:00,10,0,0,0,EF2,11.51,SOCRATES,"$5,000,000.00 ",$0.00 ,2
VIRGINIA,Tornado,WASHINGTON,4/28/2011,0:01:00,50,0,3,1,EF3,16.9,CLIP,"$3,000,000.00 ","$500,000.00 ",3
MISSISSIPPI,Tornado,ATTALA,1/1/2011,0:02:00,2,0,0,0,EF3,23.45,BOYETTE,"$3,000,000.00 ","$2,000,000.00 ",3
ALABAMA,Tornado,MOBILE,9/4/2011,0:02:00,0,0,0,0,EF1,1.93,MON LOUIS,"$45,000.00 ",$0.00 ,1
ILLINOIS,Tornado,WASHINGTON,2/28/2011,0:03:00,0,0,0,0,EF0,2.77,OKAWVILLE,$0.00 ,$0.00 ,0
INDIANA,Tornado,SWITZERLAND,4/20/2011,0:04:00,0,0,0,0,EF1,1.76,ANTIOCH,"$90,000.00 ",$0.00 ,1
MISSOURI,Tornado,MONROE,6/27/2011,0:05:00,0,0,0,0,EF1,0.43,MONROE CITY REGNL AR,$0.00 ,$0.00 ,1
KENTUCKY,Tornado,CHRISTIAN,4/26/2011,0:05:00,0,0,0,0,EF3,2.57,(HOP)FT CAMPBELL AAF,"$1,000,000.00 ",$0.00 ,3
LOUISIANA,Tornado,WINN,4/27/2011,0:05:00,0,0,0,0,EF2,12.29,ST MAURICE,"$250,000.00 ",$0.00 ,2
ILLINOIS,Tornado,WASHINGTON,2/28/2011,0:08:00,0,0,0,0,EF2,2.34,COVINGTON,$0.00 ,$0.00 ,2
TEXAS,Tornado,JOHNSON,4/11/2011,0:09:00,0,0,0,0,EF1,1.51,LAKE PAT CLEBURNE,"$150,000.00 ",$0.00 ,1
MISSOURI,Tornado,RALLS,6/27/2011,0:09:00,0,0,0,0,EF0,0.63,HASSARD,$0.00 ,$0.00 ,0
TEXAS,Tornado,BEXAR,10/9/2011,0:10:00,0,0,0,0,EF1,1.89,LACKLAND AFB,"$1,000,000.00 ",$0.00 ,1
GEORGIA,Tornado,NEWTON,4/28/2011,0:11:00,0,0,0,0,EF1,1.97,NEWBORN,"$400,000.00 ",$0.00 ,1
MISSISSIPPI,Tornado,YAZOO,4/27/2011,0:12:00,0,0,0,0,EF1,8.53,NORWAY,"$20,000.00 ","$100,000.00 ",1
GEORGIA,Tornado,MORGAN,4/28/2011,0:13:00,0,0,0,0,EF1,19.77,REECE,"$7,000,000.00 ",$0.00 ,1
ARKANSAS,Tornado,GARLAND,4/15/2011,0:13:00,0,0,0,0,EF1,2.43,OZARK LITHIA,"$40,000.00 ",$0.00 ,1
