state,event_type,county,date,time,in_direct,in_indirect,deaths_direct,deaths_indirect,f_scale,length,location,damage_property,damage_crops,f_scale_values
NEBRASKA,Tornado,PERKINS,6/6/2018,18:24:00,0,0,0,0,EF0,0.1,GRANT,$0.00 ,$0.00 ,0
FLORIDA,Tornado,DE SOTO,5/30/2018,8:01:00,0,0,0,0,EF0,0.78,JOSHUA,"$10,000.00 ",$0.00 ,0
TEXAS,Tornado,LIPSCOMB,3/18/2018,20:18:00,0,0,0,0,EF1,2.88,LIPSCOMB,$0.00 ,$0.00 ,1
TEXAS,Tornado,HANSFORD,3/18/2018,18:29:00,0,0,0,0,EF0,0.06,SPEARMAN,$0.00 ,$0.00 ,0
TEXAS,Tornado,HEMPHILL,3/18/2018,20:14:00,0,0,0,0,EF1,3.15,GLAZIER,$0.00 ,$0.00 ,1
GEORGIA,Tornado,WAYNE,5/24/2018,17:15:00,0,0,0,0,EF0,0.1,SCREVAN,$0.00 ,$0.00 ,0
MISSOURI,Tornado,FRANKLIN,1/22/2018,1:12:00,0,0,0,0,EF0,0.18,LABADIE,$0.00 ,$0.00 ,0
KANSAS,Tornado,COWLEY,5/14/2018,17:40:00,0,0,0,0,EF0,0.08,ARKANSAS CITY,$0.00 ,$0.00 ,0
LOUISIANA,Tornado,VERNON,2/7/2018,3:48:00,0,0,0,0,EF1,4.96,CRAVENS,"$25,000.00 ",$0.00 ,1
ALABAMA,Tornado,HOUSTON,2/11/2018,3:42:00,0,0,0,0,EF0,2.81,MADRID,$0.00 ,$0.00 ,0
ILLINOIS,Tornado,PIKE,12/1/2018,13:54:00,0,0,0,0,EF1,1.65,PLEASANT HILL,$0.00 ,$0.00 ,1
ILLINOIS,Tornado,MACOUPIN,12/1/2018,15:59:00,0,0,0,0,EF1,1.39,STAUNTON,$0.00 ,$0.00 ,1
ILLINOIS,Tornado,MONTGOMERY,12/1/2018,16:47:00,0,0,0,0,EF0,0.06,HARVEL,$0.00 ,$0.00 ,0
ILLINOIS,Tornado,MONTGOMERY,12/1/2018,16:32:00,0,0,0,0,EF1,1.97,BUTLER,$0.00 ,$0.00 ,1
ILLINOIS,Tornado,PIKE,12/1/2018,14:40:00,0,0,0,0,EF1,0.6,VALLEY CITY,$0.00 ,$0.00 ,1
ILLINOIS,Tornado,MONTGOMERY,12/1/2018,16:16:00,0,0,0,0,EF2,6.79,LITCHFIELD,$0.00 ,$0.00 ,2
ILLINOIS,Tornado,PIKE,12/1/2018,14:29:00,0,0,0,0,EF0,0.11,DETROIT,$0.00 ,$0.00 ,0
ARKANSAS,Tornado,JACKSON,2/24/2018,17:11:00,0,0,0,0,EF0,0.21,EIGHT MILE,"$20,000.00 ",$0.00 ,0
ARKANSAS,Tornado,FAULKNER,1/22/2018,0:49:00,0,0,0,0,EF1,2.7,LINDER,"$100,000.00 ",$0.00 ,1
MISSISSIPPI,Tornado,NESHOBA,2/10/2018,16:50:00,0,0,0,0,EF0,0.01,PHILADELPHIA ARPT,"$50,000.00 ",$0.00 ,0
SOUTH CAROLINA,Tornado,YORK,4/15/2018,13:58:00,0,0,0,0,EF0,1.07,LAKE WYLIE,"$50,000.00 ",$0.00 ,0
CALIFORNIA,Tornado,FRESNO,2/12/2018,11:30:00,0,0,0,0,EF0,0.3,PARLIER,$0.00 ,$0.00 ,0
FLORIDA,Tornado,HILLSBOROUGH,6/29/2018,10:14:00,0,0,0,0,EF0,0.22,HARNEY,"$100,000.00 ",$0.00 ,0
CALIFORNIA,Tornado,HUMBOLDT,1/25/2018,16:40:00,0,0,0,0,EF0,0.04,EUREKA,$100.00 ,$0.00 ,0
TEXAS,Tornado,NAVARRO,1/21/2018,18:29:00,0,0,0,0,EF0,1.09,POWELL,"$90,000.00 ",$0.00 ,0
MISSISSIPPI,Tornado,LAUDERDALE,2/7/2018,4:15:00,0,0,0,0,EF1,7.92,MEEHAN,"$200,000.00 ",$0.00 ,1
ILLINOIS,Tornado,GREENE,5/15/2018,17:21:00,0,0,0,0,EF0,0.69,HILLVIEW,$0.00 ,$0.00 ,0
ILLINOIS,Tornado,PIKE,5/15/2018,17:22:00,0,0,0,0,EF0,0.17,BEECREEK,$0.00 ,$0.00 ,0
TEXAS,Tornado,HOPKINS,1/21/2018,20:19:00,0,0,0,0,EF0,0.25,PICKTON,"$5,000.00 ",$0.00 ,0
MISSISSIPPI,Tornado,COVINGTON,1/22/2018,9:16:00,1,0,0,0,EF1,5.45,HOT COFFEE,"$30,000.00 ",$0.00 ,1
MISSISSIPPI,Tornado,JONES,1/22/2018,9:25:00,1,0,0,0,EF0,1.89,GITANO,"$15,000.00 ",$0.00 ,0
TEXAS,Tornado,JASPER,1/22/2018,2:10:00,0,0,0,0,EF0,0.5,ERIN,"$20,000.00 ",$0.00 ,0
ARKANSAS,Tornado,LITTLE RIVER,1/21/2018,21:48:00,0,0,0,0,EF1,6.32,LANESPORT,"$40,000.00 ",$0.00 ,1
TEXAS,Tornado,BOWIE,1/21/2018,21:43:00,0,0,0,0,EF0,0.54,LIBERTY HILL,"$50,000.00 ",$0.00 ,0
MISSOURI,Tornado,LAWRENCE,1/21/2018,20:04:00,0,0,0,0,EF1,1.25,OPAL,"$100,000.00 ",$0.00 ,1
LOUISIANA,Tornado,VERNON,1/22/2018,2:23:00,0,0,0,0,EF0,0.04,LEESVILLE ARPT,"$15,000.00 ",$0.00 ,0
VIRGINIA,Tornado,AMELIA,1/12/2018,22:02:00,0,0,0,0,EF1,0.41,AMELIA HILL TOP ARPT,"$30,000.00 ",$0.00 ,1
TEXAS,Tornado,BOWIE,1/21/2018,21:26:00,0,0,0,0,EF2,7.06,COLLEGE HILL,"$2,500,000.00 ",$0.00 ,2
ARKANSAS,Tornado,SEBASTIAN,1/21/2018,18:56:00,0,0,0,0,EF1,5.2,HUNTINGTON,"$50,000.00 ",$0.00 ,1
ARKANSAS,Tornado,FRANKLIN,1/21/2018,19:40:00,0,0,0,0,EF1,4.3,SUB ROSA,"$10,000.00 ",$0.00 ,1
FLORIDA,Tornado,ST. JOHNS,7/23/2018,13:40:00,0,0,0,0,EF0,0.01,SOUTH DURBIN,$0.00 ,$0.00 ,0
GEORGIA,Tornado,HARALSON,2/7/2018,7:43:00,0,0,0,0,EF0,1.25,BREMEN,"$50,000.00 ",$0.00 ,0
GEORGIA,Tornado,HEARD,2/7/2018,9:03:00,0,0,0,0,EF1,5.29,O NEALS XRDS,"$25,000.00 ",$0.00 ,1
CALIFORNIA,Tornado,INYO,3/3/2018,13:02:00,0,0,0,0,EF0,0.1,BISHOP,$0.00 ,$0.00 ,0
GEORGIA,Tornado,TALBOT,2/7/2018,11:10:00,0,0,0,0,EF0,3.7,BROWNSAND,"$35,000.00 ",$0.00 ,0
LOUISIANA,Tornado,NATCHITOCHES,3/28/2018,14:06:00,0,0,0,0,EF1,4.26,IRMA,$500.00 ,$0.00 ,1
FLORIDA,Tornado,JACKSON,2/11/2018,3:28:00,0,0,0,0,EF0,8.4,GRACEVILLE,"$25,000.00 ",$0.00 ,0
MISSOURI,Tornado,DUNKLIN,2/24/2018,17:52:00,5,0,0,0,EF2,12.44,WILHELMINA,"$2,000,000.00 ",$0.00 ,2
ALABAMA,Tornado,CULLMAN,2/28/2018,16:46:00,0,0,0,0,EF0,1.34,COUNTY LINE,$0.00 ,$0.00 ,0
KENTUCKY,Tornado,CHRISTIAN,2/24/2018,20:44:00,0,0,0,0,EF0,5.31,PLEASANT GREEN HILL,"$20,000.00 ",$0.00 ,0
FLORIDA,Tornado,HOLMES,2/11/2018,2:53:00,1,0,0,0,EF1,4.78,GRITNEY,"$250,000.00 ",$0.00 ,1
ALABAMA,Tornado,ST. CLAIR,3/19/2018,18:52:00,0,0,0,0,EF1,4.81,CALDWELL,$0.00 ,$0.00 ,1
ARKANSAS,Tornado,CROSS,2/24/2018,17:20:00,0,0,0,0,EF1,3.23,CHERRY VLY,"$500,000.00 ",$0.00 ,1
KENTUCKY,Tornado,GRAVES,2/24/2018,19:37:00,0,0,0,0,EF1,2.22,BELL CITY,"$100,000.00 ",$0.00 ,1
