state,event_type,county,date,time,in_direct,in_indirect,deaths_direct,deaths_indirect,f_scale,length,location,damage_property,damage_crops,f_scale_values
ILLINOIS,Tornado,JASPER,8/5/2023,16:30:00,0,0,0,0,EFU,0.11,WILLOW HILL,$0.00 ,$0.00 ,-1
ALABAMA,Tornado,PERRY,1/12/2023,11:10:00,0,0,0,0,EF0,4.17,MORGAN SPGS,$0.00 ,$0.00 ,0
ALABAMA,Tornado,COOSA,1/3/2023,13:40:00,0,0,0,0,EF0,1.71,MARBLE VLY,$0.00 ,$0.00 ,0
OKLAHOMA,Tornado,ALFALFA,6/17/2023,20:24:00,0,0,0,0,EFU,1.5,BURLINGTON,$0.00 ,$0.00 ,-1
ILLINOIS,Tornado,MACON,1/3/2023,16:33:00,0,0,0,0,EF0,0.32,MAROA,$0.00 ,$0.00 ,0
IOWA,Tornado,POTTAWATTAMIE,7/12/2023,5:28:00,0,0,0,0,EF1,1.51,HANCOCK,$0.00 ,$0.00 ,1
WASHINGTON,Tornado,LINCOLN,7/10/2023,14:45:00,0,0,0,0,EF0,0.9,WILBUR,"$2,000.00 ",$0.00 ,0
OKLAHOMA,Tornado,BEAVER,6/18/2023,18:42:00,0,0,0,0,EF0,1.38,GATE,"$50,000.00 ",$0.00 ,0
MICHIGAN,Tornado,LIVINGSTON,7/26/2023,13:50:00,0,0,0,0,EF0,0.37,WILLIAMSVILLE,$0.00 ,$0.00 ,0
ILLINOIS,Tornado,LEE,3/31/2023,18:13:00,0,0,0,0,EF1,7.75,SUBLETTE,$0.00 ,$0.00 ,1
ILLINOIS,Tornado,BOONE,3/31/2023,18:44:00,0,0,0,0,EF1,13.54,CALEDONIA,$0.00 ,$0.00 ,1
TEXAS,Tornado,LIMESTONE,4/2/2023,16:36:00,0,0,0,0,EF0,0.38,KOSSE,$0.00 ,$0.00 ,0
ILLINOIS,Tornado,LIVINGSTON,3/31/2023,15:05:00,0,0,0,0,EFU,0.03,ROWE,$0.00 ,$0.00 ,-1
GEORGIA,Tornado,TROUP,1/12/2023,15:24:00,0,0,0,0,EF2,8.12,EVANSVILLE,$0.00 ,$0.00 ,2
ILLINOIS,Tornado,LEE,3/31/2023,18:08:00,0,0,0,0,EF2,9.29,WOODHAVEN LAKES,$0.00 ,$0.00 ,2
GEORGIA,Tornado,SPALDING,1/12/2023,16:16:00,0,0,0,0,EF1,2.53,BLANTONS MILL,$0.00 ,$0.00 ,1
NEW MEXICO,Tornado,LEA,5/27/2023,17:10:00,0,0,0,0,EFU,1,CROSSROADS,$0.00 ,$0.00 ,-1
NEW MEXICO,Tornado,LEA,5/27/2023,17:38:00,0,0,0,0,EFU,3.5,GLADIOLA,$0.00 ,$0.00 ,-1
ILLINOIS,Tornado,MONROE,8/13/2023,16:35:00,0,0,0,0,EF0,0.38,AMES,$0.00 ,$0.00 ,0
NEBRASKA,Tornado,CUSTER,5/12/2023,11:42:00,0,0,0,0,EFU,0.1,ARNOLD,$0.00 ,$0.00 ,-1
NEBRASKA,Tornado,WHEELER,5/12/2023,14:11:00,0,0,0,0,EF1,3.42,BARTLETT,$0.00 ,$0.00 ,1
NEBRASKA,Tornado,WHEELER,5/12/2023,14:25:00,0,0,0,0,EFU,0.1,ERICSON,$0.00 ,$0.00 ,-1
NEBRASKA,Tornado,CUSTER,5/12/2023,11:34:00,0,0,0,0,EF1,4.02,ANSELMO,$0.00 ,$0.00 ,1
NEBRASKA,Tornado,CUSTER,5/12/2023,15:00:00,0,0,0,0,EFU,0.1,ARNOLD,$0.00 ,$0.00 ,-1
NEBRASKA,Tornado,LOGAN,5/12/2023,11:39:00,0,0,0,0,EFU,0.09,LOGAN,$0.00 ,$0.00 ,-1
NEBRASKA,Tornado,HOLT,5/12/2023,15:00:00,0,0,0,0,EF2,6.27,CHAMBERS,$0.00 ,$0.00 ,2
NEBRASKA,Tornado,CUMING,7/12/2023,4:20:00,0,0,0,0,EF1,0.53,BANCROFT,"$10,000.00 ",$0.00 ,1
NORTH CAROLINA,Tornado,IREDELL,4/22/2023,6:27:00,0,0,0,0,EF0,7.67,MT MOURNE,$0.00 ,$0.00 ,0
INDIANA,Tornado,CASS,3/31/2023,21:13:00,0,0,0,0,EF1,1.73,LAKE CICOTT,"$30,000.00 ",$0.00 ,1
OHIO,Tornado,PAULDING,3/31/2023,22:53:00,0,0,0,0,EF0,0.82,KNOXDALE,$0.00 ,$0.00 ,0
INDIANA,Tornado,GRANT,3/31/2023,22:42:00,0,0,0,0,EF3,6.35,GAS CITY,$0.00 ,$0.00 ,3
NEBRASKA,Tornado,COLFAX,7/12/2023,4:14:00,0,0,0,0,EF1,0.25,HOWELLS,$0.00 ,$0.00 ,1
INDIANA,Tornado,ALLEN,3/31/2023,22:36:00,0,0,0,0,EF2,7.86,MAPLEWOOD PARK,$0.00 ,$0.00 ,2
INDIANA,Tornado,ALLEN,3/31/2023,22:44:00,0,0,0,0,EF0,1.14,HARLAN,$0.00 ,$0.00 ,0
INDIANA,Tornado,GRANT,3/31/2023,22:33:00,0,0,0,0,EF2,3.09,SWAYZEE,$0.00 ,$0.00 ,2
NEBRASKA,Tornado,BURT,7/12/2023,4:37:00,0,0,0,0,EF0,1.1,TEKAMAH,$0.00 ,$0.00 ,0
IOWA,Tornado,HARRISON,7/12/2023,5:05:00,0,0,0,0,EF2,9.4,HARD SCRATCH,$0.00 ,$0.00 ,2
INDIANA,Tornado,JAY,3/31/2023,23:20:00,0,0,0,0,EF0,2.44,PLEASANT RIDGE,$0.00 ,$0.00 ,0
ALABAMA,Tornado,MADISON,3/1/2023,22:32:00,0,0,0,0,EF1,0.14,SKINEM,$0.00 ,$0.00 ,1
IOWA,Tornado,SHELBY,7/12/2023,5:17:00,0,0,0,0,EF1,0.52,PORTSMOUTH,"$50,000.00 ",$0.00 ,1
MISSISSIPPI,Tornado,JONES,1/3/2023,22:47:00,0,0,0,0,EF1,2.61,ERRATA,"$25,000.00 ",$0.00 ,1
MISSISSIPPI,Tornado,MONROE,2/16/2023,15:52:00,0,0,0,0,EF1,1.63,SMITHVILLE,"$150,000.00 ",$0.00 ,1
TENNESSEE,Tornado,MCNAIRY,2/16/2023,13:43:00,0,0,0,0,EF1,3.13,RAMER,$0.00 ,$0.00 ,1
ALABAMA,Tornado,BALDWIN,6/17/2023,15:30:00,0,0,0,0,EF0,3.56,TAYLORS CAMP,$0.00 ,$0.00 ,0
ALABAMA,Tornado,BALDWIN,6/15/2023,23:21:00,0,0,0,0,EF0,0.29,LOXLEY,$0.00 ,$0.00 ,0
ALABAMA,Tornado,MOBILE,6/16/2023,7:00:00,0,0,0,0,EF1,7.01,SALCO,$0.00 ,$0.00 ,1
NEW JERSEY,Tornado,SOMERSET,6/26/2023,14:29:00,0,0,0,0,EF1,1.38,BERNARDSVILLE,$0.00 ,$0.00 ,1
ILLINOIS,Tornado,CHRISTIAN,8/6/2023,17:13:00,0,0,0,0,EF2,23.43,SICILY,$0.00 ,$0.00 ,2
NORTH CAROLINA,Tornado,PERQUIMANS,9/23/2023,6:37:00,0,0,0,0,EF0,0.48,HICKORY XRDS,$0.00 ,$0.00 ,0
ARIZONA,Tornado,PIMA,8/13/2023,18:09:00,0,0,0,0,EF0,0.1,SILVER BELL,$0.00 ,$0.00 ,0
NEW JERSEY,Tornado,BURLINGTON,4/1/2023,18:08:00,0,0,0,0,EF1,0.67,CROSSWICKS,"$6,000.00 ",$0.00 ,1
CONNECTICUT,Tornado,WINDHAM,9/13/2023,15:00:00,0,0,0,0,EF0,1.61,SOUTH KILLINGLY,$0.00 ,$0.00 ,0
GEORGIA,Tornado,WASHINGTON,1/4/2023,8:48:00,1,0,0,0,EF1,3.8,KAOLIN,"$5,000.00 ",$0.00 ,1
OKLAHOMA,Tornado,LINCOLN,2/26/2023,21:51:00,0,0,0,0,EF1,0.4,MEEKER,$0.00 ,$0.00 ,1
GEORGIA,Tornado,COWETA,1/3/2023,17:42:00,0,0,0,0,EF0,0.62,THOMAS XRDS,$0.00 ,$0.00 ,0
GEORGIA,Tornado,HEARD,1/4/2023,5:02:00,0,0,0,0,EF1,2.45,ROOSTERVILLE,"$20,000.00 ",$0.00 ,1
RHODE ISLAND,Tornado,PROVIDENCE,9/13/2023,15:20:00,0,0,0,0,EF1,0.21,GLOCESTER,"$7,000.00 ",$0.00 ,1
MASSACHUSETTS,Tornado,WORCESTER,7/16/2023,9:56:00,0,0,0,0,EF0,2.02,NORTH BROOKFIELD,"$56,000.00 ",$0.00 ,0
MINNESOTA,Tornado,MAHNOMEN,6/24/2023,15:15:00,0,0,0,0,EF2,6.22,WAUBUN,"$5,000.00 ",$0.00 ,2
MASSACHUSETTS,Tornado,NORFOLK,7/29/2023,19:17:00,0,0,0,0,EF0,0.16,EAST FOXBORO,$0.00 ,$0.00 ,0
GEORGIA,Tornado,JEFFERSON,1/4/2023,9:12:00,0,0,0,0,EF0,5.2,MAGNOLIA,$0.00 ,$0.00 ,0
NEW JERSEY,Tornado,BURLINGTON,4/1/2023,18:08:00,0,0,0,0,EF1,0.07,CROSSWICKS,$0.00 ,$0.00 ,1
NEW JERSEY,Tornado,MONMOUTH,4/1/2023,18:34:00,0,0,0,0,EF2,0.19,HYSON,"$10,000.00 ",$0.00 ,2
OKLAHOMA,Tornado,ALFALFA,2/26/2023,20:31:00,0,0,0,0,EF0,0.2,AMORITA,"$15,000.00 ",$0.00 ,0
LOUISIANA,Tornado,CALCASIEU,1/24/2023,16:44:00,0,0,0,0,EF1,1.39,NIBLETTS BLUFF,"$20,000.00 ",$0.00 ,1
LOUISIANA,Tornado,BEAUREGARD,1/24/2023,17:12:00,0,0,0,0,EF1,6.47,KERNAN,$0.00 ,$0.00 ,1
KENTUCKY,Tornado,MCCRACKEN,1/12/2023,2:07:00,0,0,0,0,EF1,1.3,RAGLAND,"$250,000.00 ",$0.00 ,1
LOUISIANA,Tornado,CALCASIEU,1/24/2023,16:42:00,0,0,0,0,EF2,12.14,NIBLETTS BLUFF,"$500,000.00 ",$0.00 ,2
LOUISIANA,Tornado,BEAUREGARD,1/24/2023,17:08:00,3,0,0,0,EF2,8.31,GORDON,"$25,000.00 ",$0.00 ,2
ARKANSAS,Tornado,UNION,1/2/2023,11:47:00,0,0,0,0,EF1,0.24,NORPHLET,$0.00 ,$0.00 ,1
GEORGIA,Tornado,COFFEE,1/22/2023,18:11:00,0,0,0,0,EF1,3.66,DOUGLAS MUNI ARPT,$0.00 ,$0.00 ,1
GEORGIA,Tornado,WILCOX,1/12/2023,19:03:00,0,0,0,0,EF0,2.2,PINEVIEW,$0.00 ,$0.00 ,0
OKLAHOMA,Tornado,OSAGE,1/2/2023,16:37:00,0,0,0,0,EFU,0.1,CARTER NINE,$0.00 ,$0.00 ,-1
GEORGIA,Tornado,BACON,1/22/2023,18:32:00,0,0,0,0,EF1,7.55,ROCKINGHAM,$0.00 ,$0.00 ,1
TENNESSEE,Tornado,JEFFERSON,1/12/2023,13:14:00,0,0,0,0,EF0,0.43,SHADY GROVE,$0.00 ,$0.00 ,0
TENNESSEE,Tornado,JEFFERSON,1/12/2023,13:26:00,0,0,0,0,EF0,1.11,DOUGLAS LAKE NORTH,"$75,000.00 ",$0.00 ,0
OKLAHOMA,Tornado,OTTAWA,1/2/2023,18:23:00,0,0,0,0,EF1,0.6,FAIRLAND,$0.00 ,$0.00 ,1
OKLAHOMA,Tornado,SEQUOYAH,1/2/2023,19:25:00,0,0,0,0,EFU,2.5,MITCH,$0.00 ,$0.00 ,-1
SOUTH CAROLINA,Tornado,AIKEN,1/4/2023,10:27:00,0,0,0,0,EF0,3.49,WAGENER,"$5,000,000.00 ",$0.00 ,0
ARKANSAS,Tornado,GARLAND,1/2/2023,14:38:00,2,0,0,0,EF1,2.09,BLAKELY,"$150,000.00 ",$0.00 ,1
KENTUCKY,Tornado,GRANT,1/12/2023,9:23:00,0,0,0,0,EF0,0.27,DRY RIDGE,"$5,000.00 ",$0.00 ,0
PENNSYLVANIA,Tornado,ERIE,8/12/2023,12:27:00,0,0,0,0,EF0,0.45,ELGIN,"$200,000.00 ",$0.00 ,0
SOUTH CAROLINA,Tornado,GREENWOOD,1/12/2023,18:23:00,0,0,0,0,EF1,2.07,HARRIS,$0.00 ,$0.00 ,1
SOUTH CAROLINA,Tornado,LAURENS,1/12/2023,17:39:00,0,0,0,0,EF1,9.05,JOANNA,$0.00 ,$0.00 ,1
SOUTH CAROLINA,Tornado,LEXINGTON,1/4/2023,10:42:00,0,0,0,0,EF0,4.58,EDMUND,$0.00 ,$0.00 ,0
GEORGIA,Tornado,CLINCH,1/4/2023,12:35:00,0,0,0,0,EF0,0.64,HEADLIGHT,$0.00 ,$0.00 ,0
ALABAMA,Tornado,CONECUH,1/12/2023,13:54:00,0,0,0,0,EF0,0.94,SEARIGHT,"$50,000.00 ",$0.00 ,0
OKLAHOMA,Tornado,GREER,2/26/2023,19:23:00,0,0,0,0,EF1,11,REED,"$100,000.00 ",$0.00 ,1
OKLAHOMA,Tornado,KIOWA,2/26/2023,19:45:00,0,0,0,0,EF1,7.5,LONE WOLF,$0.00 ,$0.00 ,1
SOUTH CAROLINA,Tornado,LEXINGTON,1/4/2023,10:30:00,0,0,0,0,EF0,1.43,GILBERT,$0.00 ,$0.00 ,0
SOUTH CAROLINA,Tornado,LEXINGTON,1/4/2023,10:40:00,0,0,0,0,EF1,4,POOLES XRDS,$0.00 ,$0.00 ,1
SOUTH CAROLINA,Tornado,ORANGEBURG,1/4/2023,10:47:00,0,0,0,0,EF0,2.62,WOODFORD,$0.00 ,$0.00 ,0
SOUTH CAROLINA,Tornado,CALHOUN,1/4/2023,11:02:00,0,0,0,0,EF0,0.12,HAMMOND XRDS,$0.00 ,$0.00 ,0
GEORGIA,Tornado,PIERCE,1/4/2023,13:09:00,0,0,0,0,EF1,3.16,BRISTOL,$0.00 ,$0.00 ,1
GEORGIA,Tornado,CHARLTON,1/4/2023,13:40:00,0,0,0,0,EF0,0.18,VANTIME,"$50,000.00 ",$0.00 ,0
KENTUCKY,Tornado,BALLARD,1/12/2023,2:03:00,0,0,0,0,EF1,3.9,MONKEYS EYEBROW,$0.00 ,$0.00 ,1
GEORGIA,Tornado,COBB,1/12/2023,15:30:00,0,0,0,0,EF1,1.46,AUSTELL,$0.00 ,$0.00 ,1
NEW JERSEY,Tornado,MERCER,4/1/2023,18:09:00,0,0,0,0,EF1,1.81,NORTH CROSSWICKS,$0.00 ,$0.00 ,1
NEW JERSEY,Tornado,MONMOUTH,4/1/2023,18:11:00,0,0,0,0,EF1,0.08,ALLENTOWN,$0.00 ,$0.00 ,1
NORTH CAROLINA,Tornado,GASTON,1/12/2023,18:10:00,0,0,0,0,EF0,6.06,SPENCER MTN,$0.00 ,$0.00 ,0
NORTH CAROLINA,Tornado,BEAUFORT,1/4/2023,14:49:00,0,0,0,0,EF1,0.33,BAYVIEW,$0.00 ,$0.00 ,1
ALABAMA,Tornado,LIMESTONE,1/12/2023,8:39:00,0,0,0,0,EF1,5.79,WHITESIDE,$0.00 ,$0.00 ,1
ALABAMA,Tornado,JACKSON,1/12/2023,15:38:00,0,0,0,0,EF0,2.34,ROSLIE,"$5,000.00 ",$0.00 ,0
ARKANSAS,Tornado,DESHA,1/2/2023,19:44:00,0,0,0,0,EF0,0.57,HALLEY,"$50,000.00 ",$0.00 ,0
VIRGINIA,Tornado,SOUTHAMPTON,1/4/2023,14:39:00,0,0,0,0,EF0,2.16,LITTLE TEXAS,$0.00 ,$0.00 ,0
GEORGIA,Tornado,BUTTS,1/12/2023,16:35:00,0,0,0,0,EF1,5.74,TOWALIGA,$0.00 ,$0.00 ,1
ALABAMA,Tornado,FRANKLIN,1/3/2023,10:48:00,0,0,0,0,EF1,0.6,PLEASANT GROVE,"$30,000.00 ",$0.00 ,1
KENTUCKY,Tornado,CHRISTIAN,1/3/2023,4:35:00,0,0,0,0,EF0,1.21,MERRITTSTOWN,"$30,000.00 ",$0.00 ,0
OKLAHOMA,Tornado,CADDO,2/26/2023,20:32:00,0,0,0,0,EF0,5.1,GRACEMONT,"$100,000.00 ",$0.00 ,0
OKLAHOMA,Tornado,OKLAHOMA,2/26/2023,21:12:00,0,0,0,0,EF1,5.5,WHEATLAND,"$200,000.00 ",$0.00 ,1
OKLAHOMA,Tornado,MCCLAIN,2/26/2023,21:15:00,0,0,0,0,EF2,6.12,COLE,"$15,000.00 ",$0.00 ,2
ILLINOIS,Tornado,MASSAC,1/12/2023,2:08:00,0,0,0,0,EF0,1.3,HILLERMAN,$0.00 ,$0.00 ,0
ILLINOIS,Tornado,FORD,1/3/2023,17:56:00,0,0,0,0,EF1,2.9,PROCTOR,"$10,000.00 ",$0.00 ,1
OKLAHOMA,Tornado,GRADY,2/26/2023,20:52:00,0,0,0,0,EF0,0.25,MINCO,"$75,000.00 ",$0.00 ,0
OKLAHOMA,Tornado,BECKHAM,2/26/2023,19:13:00,0,0,0,0,EF1,6,ERICK,$0.00 ,$0.00 ,1
OKLAHOMA,Tornado,HARMON,2/26/2023,19:08:00,0,0,0,0,EFU,7.5,MC KNIGHT,"$50,000,000.00 ",$0.00 ,-1
OKLAHOMA,Tornado,CLEVELAND,2/26/2023,21:19:00,12,0,0,0,EF2,20,NORMAN,$0.00 ,$0.00 ,2
GEORGIA,Tornado,WILCOX,1/12/2023,19:00:00,0,0,0,0,EF1,3.13,ABBEVILLE,$0.00 ,$0.00 ,1
FLORIDA,Tornado,WALTON,1/25/2023,5:15:00,0,0,0,0,EF0,0.57,BUNKER,"$10,000.00 ",$0.00 ,0
FLORIDA,Tornado,LIBERTY,1/25/2023,8:34:00,0,0,0,0,EF0,0.47,ESTIFFAPULGA,$0.00 ,$0.00 ,0
