state,event_type,county,date,time,in_direct,in_indirect,deaths_direct,deaths_indirect,f_scale,length,location,damage_property,damage_crops,f_scale_values
FLORIDA,Tornado,MARTIN,1/15/2024,16:43:00,0,0,0,0,EF0,8.22,PALM CITY,$0.00 ,$0.00 ,0
GEORGIA,Tornado,BACON,1/9/2024,12:55:00,0,0,0,0,EF1,7.27,NICHOLLS,$0.00 ,$0.00 ,1
ALABAMA,Tornado,HOUSTON,1/9/2024,5:53:00,0,0,0,0,EF1,1.2,MEMPHIS,"$100,000.00 ",$0.00 ,1
FLORIDA,Tornado,HILLSBOROUGH,1/9/2024,16:00:00,0,0,0,0,EF1,0.58,COSME,"$250,000.00 ",$0.00 ,1
FLORIDA,Tornado,PINELLAS,1/9/2024,17:23:00,0,0,0,0,EF0,0.01,SAINT PETERSBURG PORTS SITE,"$10,000.00 ",$0.00 ,0
SOUTH CAROLINA,Tornado,RICHLAND,1/27/2024,15:48:00,0,0,0,0,EF1,0.89,PONTIAC,$0.00 ,$0.00 ,1
SOUTH CAROLINA,Tornado,SALUDA,1/27/2024,20:22:00,0,0,0,0,EF0,1.34,PERRYS XRDS,$0.00 ,$0.00 ,0
FLORIDA,Tornado,DUVAL,1/9/2024,16:08:00,0,0,0,0,EF0,0.23,BAYARD,$0.00 ,$0.00 ,0
GEORGIA,Tornado,FULTON,1/9/2024,8:12:00,0,0,0,0,EF0,1.56,FAIRBURN SKY PORT,$0.00 ,$0.00 ,0
GEORGIA,Tornado,EVANS,1/9/2024,13:43:00,0,0,0,0,EF1,4.78,HAGAN,"$100,000.00 ",$0.00 ,1
NORTH CAROLINA,Tornado,CARTERET,1/10/2024,2:05:00,0,0,0,0,EF1,0.23,HARKERS IS,$0.00 ,$0.00 ,1
NORTH CAROLINA,Tornado,CARTERET,1/10/2024,2:05:00,0,0,0,0,EF0,0.14,HARKERS IS,$0.00 ,$0.00 ,0
NORTH CAROLINA,Tornado,CRAVEN,1/10/2024,1:03:00,0,0,0,0,EF1,5.02,ASKIN,$0.00 ,$0.00 ,1
FLORIDA,Tornado,BAY,1/9/2024,5:43:00,2,0,0,0,EF2,12.89,LYNN HAVEN,"$5,000,000.00 ",$0.00 ,2
FLORIDA,Tornado,BAY,1/9/2024,6:03:00,0,0,0,0,EF0,1.16,BETTS,$0.00 ,$0.00 ,0
LOUISIANA,Tornado,ASSUMPTION,1/8/2024,15:42:00,0,0,0,0,EF0,0.88,HIMALAYA,"$150,000.00 ",$0.00 ,0
FLORIDA,Tornado,CALHOUN,1/9/2024,6:11:00,0,0,0,0,EF1,3.08,CENTER LAKE,$0.00 ,$0.00 ,1
FLORIDA,Tornado,JACKSON,1/9/2024,6:14:00,0,0,0,0,EF1,5.55,COMPASS LAKE,"$5,000.00 ",$0.00 ,1
FLORIDA,Tornado,JACKSON,1/9/2024,6:25:00,7,0,0,0,EF2,16.33,SIMSVILLE,"$5,000,000.00 ",$0.00 ,2
TEXAS,Tornado,BRAZORIA,1/5/2024,5:56:00,0,0,0,0,EF0,0.59,BRAZORIA RES,$0.00 ,$0.00 ,0
NORTH CAROLINA,Tornado,CATAWBA,1/9/2024,12:27:00,4,0,1,0,EF1,7.52,BANDY,"$250,000.00 ",$0.00 ,1
NORTH CAROLINA,Tornado,IREDELL,1/9/2024,12:34:00,0,0,0,0,EF1,1.5,BUFFALO,$0.00 ,$0.00 ,1
FLORIDA,Tornado,WALTON,1/9/2024,4:29:00,0,0,0,0,EF1,10.93,SANTA ROSA BEACH,"$100,000.00 ",$0.00 ,1
SOUTH CAROLINA,Tornado,LEXINGTON,1/9/2024,14:10:00,1,0,0,0,EF1,3.27,SYRUP,$0.00 ,$0.00 ,1
SOUTH CAROLINA,Tornado,BAMBERG,1/9/2024,14:46:00,0,0,0,0,EF2,2.14,BAMBERG,"$1,800,000.00 ",$0.00 ,2
SOUTH CAROLINA,Tornado,SALUDA,1/27/2024,20:18:00,0,0,0,0,EF1,1.62,MERCHANT,$0.00 ,$0.00 ,1
GEORGIA,Tornado,COFFEE,1/9/2024,12:55:00,0,0,0,0,EF1,7.27,NICHOLLS,$0.00 ,$0.00 ,1
FLORIDA,Tornado,LEON,1/9/2024,10:32:00,0,0,0,0,EF0,0.96,BLOXHAM,$0.00 ,$0.00 ,0
MISSISSIPPI,Tornado,GEORGE,1/9/2024,3:24:00,0,0,0,0,EF1,0.21,SHIPMAN,$0.00 ,$0.00 ,1
MISSISSIPPI,Tornado,GEORGE,1/8/2024,19:31:00,0,0,0,0,EF0,0.19,LUCEDALE,$0.00 ,$0.00 ,0
MISSISSIPPI,Tornado,GEORGE,1/8/2024,19:25:00,0,0,0,0,EF0,2.09,AGRICOLA,$0.00 ,$0.00 ,0
FLORIDA,Tornado,BAY,1/9/2024,5:31:00,0,0,0,0,EF3,5.2,BILTMORE BEACH,"$15,350,000.00 ",$0.00 ,3
ALABAMA,Tornado,HOUSTON,1/9/2024,8:03:00,10,6,1,0,EF2,20.94,MADRID,"$6,000,000.00 ",$0.00 ,2
FLORIDA,Tornado,SANTA ROSA,1/9/2024,2:29:00,0,0,0,0,EF0,1.74,BADDAD JCT,$0.00 ,$0.00 ,0
ALABAMA,Tornado,MOBILE,1/9/2024,3:47:00,0,0,0,0,EF0,2.99,TANNER WILLIAMS,$0.00 ,$0.00 ,0
ALABAMA,Tornado,MOBILE,1/9/2024,3:56:00,0,0,0,0,EF0,1.48,DAWES,$0.00 ,$0.00 ,0
ALABAMA,Tornado,MOBILE,1/9/2024,4:12:00,0,0,0,0,EF0,0.66,DELCHAMPS,$0.00 ,$0.00 ,0
ALABAMA,Tornado,BALDWIN,1/9/2024,4:32:00,0,0,0,0,EF1,1.85,STEELWOOD,$0.00 ,$0.00 ,1
ALABAMA,Tornado,BALDWIN,1/9/2024,4:35:00,0,0,0,0,EF1,0.26,STEELWOOD,$0.00 ,$0.00 ,1
ALABAMA,Tornado,BALDWIN,1/9/2024,4:38:00,0,0,0,0,EF0,5.08,BELFOREST,$0.00 ,$0.00 ,0
GEORGIA,Tornado,EARLY,1/9/2024,9:46:00,0,0,0,0,EF2,4.55,ROWENA,"$326,000.00 ",$0.00 ,2
FLORIDA,Tornado,WALTON,1/9/2024,4:48:00,0,0,0,0,EF1,5.42,EUCHEEANNA,"$50,000.00 ",$0.00 ,1
GEORGIA,Tornado,CALHOUN,1/9/2024,9:51:00,0,0,0,0,EF1,17.18,ARLINGTON,"$50,000.00 ",$0.00 ,1
FLORIDA,Tornado,HOLMES,1/9/2024,5:03:00,0,0,0,0,EF0,0.96,PONCE DE LEON,"$75,000.00 ",$0.00 ,0
FLORIDA,Tornado,BAY,1/9/2024,5:31:00,0,0,0,0,EF0,0.23,BILTMORE BEACH,"$1,000.00 ",$0.00 ,0
FLORIDA,Tornado,JACKSON,1/9/2024,7:50:00,0,0,0,0,EF1,13.82,RICHTER CROSSROADS,"$250,000.00 ",$0.00 ,1
FLORIDA,Tornado,WALTON,1/9/2024,7:06:00,0,0,0,0,EF1,0.35,DE FUNIAK SPRINGS ARPT,"$50,000.00 ",$0.00 ,1
