state,event_type,county,date,time,in_direct,in_indirect,deaths_direct,deaths_indirect,f_scale,length,location,damage_property,damage_crops,f_scale_values
MISSISSIPPI,Tornado,COPIAH,1/21/2016,16:14:00,0,0,0,0,EF0,3.03,BEECH GROVE,"$17,000.00 ",$0.00 ,0
MISSISSIPPI,Tornado,SCOTT,1/21/2016,17:46:00,0,0,0,0,EF0,2.09,HOMEWOOD,"$9,000.00 ",$0.00 ,0
MINNESOTA,Tornado,WABASHA,7/5/2016,19:28:00,0,0,0,0,EF1,0.09,OAK CENTER,"$5,000.00 ",$0.00 ,1
OHIO,Tornado,PAULDING,8/24/2016,16:53:00,0,0,0,0,EF2,2.8,KNOXDALE,$0.00 ,$0.00 ,2
OHIO,Tornado,HENRY,8/24/2016,17:48:00,0,0,0,0,EF1,2.8,OKOLONA,$0.00 ,$0.00 ,1
IOWA,Tornado,DICKINSON,6/14/2016,13:22:00,0,0,0,0,EF0,0.36,WEST OKOBOJI,"$1,000.00 ",$0.00 ,0
GEORGIA,Tornado,GRADY,2/24/2016,2:45:00,0,0,0,0,EF1,12.81,BOYDVILLE,"$20,000.00 ",$0.00 ,1
NEBRASKA,Tornado,CHEYENNE,5/30/2016,13:07:00,0,0,0,0,EF0,0.48,LORENZO,$0.00 ,$0.00 ,0
NEBRASKA,Tornado,CHEYENNE,5/30/2016,13:05:00,0,0,0,0,EF0,0.83,LORENZO,$0.00 ,$0.00 ,0
GEORGIA,Tornado,EARLY,2/24/2016,0:07:00,0,0,0,0,EF1,2.24,KOLOMOKI MOUNDS STATE PARK,$0.00 ,$0.00 ,1
GEORGIA,Tornado,TERRELL,2/24/2016,0:55:00,0,0,0,0,EF1,5.09,CLARKS MILL,$0.00 ,$0.00 ,1
GEORGIA,Tornado,LEE,2/24/2016,1:26:00,0,0,0,0,EF1,0.2,CHOKEE,"$50,000.00 ",$0.00 ,1
WEST VIRGINIA,Tornado,BARBOUR,6/21/2016,20:30:00,0,0,0,0,EF1,0.36,TACY,"$20,000.00 ",$0.00 ,1
WASHINGTON,Tornado,SPOKANE,7/22/2016,14:20:00,0,0,0,0,EF0,0.2,AIRWAY HGTS,$0.00 ,$0.00 ,0
NEW JERSEY,Tornado,WARREN,7/14/2016,13:46:00,0,0,0,0,EF0,2.8,ROXBURG,$0.00 ,$0.00 ,0
MONTANA,Tornado,SHERIDAN,5/9/2016,18:25:00,0,0,0,0,EF0,0.46,HOMESTEAD,$0.00 ,$0.00 ,0
SOUTH CAROLINA,Tornado,LEXINGTON,2/3/2016,14:28:00,0,0,0,0,EF0,0.69,DIXIANA,"$50,000.00 ",$0.00 ,0
ALABAMA,Tornado,HOUSTON,2/23/2016,22:31:00,0,0,0,0,EF1,1.63,KELLY SPRINGS,"$50,000.00 ",$0.00 ,1
ALABAMA,Tornado,HOUSTON,2/23/2016,22:34:00,0,0,0,0,EF1,3.66,KELLY SPRINGS,"$75,000.00 ",$0.00 ,1
ALABAMA,Tornado,HENRY,2/23/2016,22:54:00,0,0,0,0,EF0,0.4,MILLER,$0.00 ,$0.00 ,0
SOUTH CAROLINA,Tornado,CHESTERFIELD,2/24/2016,15:16:00,0,0,0,0,EF0,8.89,PATRICK,$0.00 ,$0.00 ,0
ILLINOIS,Tornado,CHAMPAIGN,9/9/2016,17:31:00,0,0,0,0,EF2,6.26,BLOCK,"$800,000.00 ","$100,000.00 ",2
ILLINOIS,Tornado,ROCK ISLAND,3/15/2016,18:25:00,10,0,0,0,EF2,4.78,BARSTOW,"$750,000.00 ",$0.00 ,2
ALABAMA,Tornado,HENRY,2/23/2016,22:38:00,0,0,0,0,EF1,1.09,HEADLAND,"$50,000.00 ",$0.00 ,1
KANSAS,Tornado,ROOKS,5/8/2016,18:21:00,0,0,0,0,EF2,0.38,CODELL,"$2,000.00 ",$0.00 ,2
TEXAS,Tornado,BRAZOS,5/26/2016,11:30:00,0,0,0,0,EF1,2.86,HARVEY,"$7,000,000.00 ",$0.00 ,1
ALABAMA,Tornado,HOUSTON,2/23/2016,22:24:00,0,0,0,0,EF1,1.01,HOLLIS DAIRY RD,$0.00 ,$0.00 ,1
ALABAMA,Tornado,HOUSTON,2/23/2016,22:15:00,0,0,0,0,EF0,2.76,WICKSBURG,"$50,000.00 ",$0.00 ,0
ALABAMA,Tornado,HOUSTON,2/23/2016,22:29:00,0,0,0,0,EF1,2.03,BRANNON STAND,$0.00 ,$0.00 ,1
KANSAS,Tornado,ROOKS,5/8/2016,18:27:00,0,0,0,0,EF1,2.82,CODELL,"$15,000.00 ",$0.00 ,1
CALIFORNIA,Tornado,SAN BENITO,1/6/2016,8:50:00,0,0,0,0,EF0,0.67,DUNNEVILLE CORNERS,$0.00 ,$0.00 ,0
LOUISIANA,Tornado,JEFFERSON DAVIS,2/15/2016,13:04:00,0,0,0,0,EF0,0.78,NIBLETT,$0.00 ,$0.00 ,0
ALABAMA,Tornado,HENRY,2/23/2016,23:02:00,0,0,0,0,EF1,0.5,HARDWICKBURG,$0.00 ,$0.00 ,1
FLORIDA,Tornado,POLK,6/1/2016,17:45:00,0,0,0,0,EF0,0.7,HIGHLAND PARK,"$5,000.00 ",$0.00 ,0
ALABAMA,Tornado,DALE,2/23/2016,22:28:00,0,0,0,0,EF0,1.79,CURRYTOWN,$0.00 ,$0.00 ,0
ARKANSAS,Tornado,CHICOT,3/13/2016,20:15:00,1,0,0,0,EF1,6.36,DERMOTT,"$2,500,000.00 ",$0.00 ,1
MINNESOTA,Tornado,PIPESTONE,6/14/2016,12:52:00,0,0,0,0,EF0,3.78,PIPESTONE ARPT,$0.00 ,$0.00 ,0
FLORIDA,Tornado,PINELLAS,4/7/2016,5:37:00,0,0,0,0,EF0,0.13,CLEARWATER BEACH,"$5,000.00 ",$0.00 ,0
FLORIDA,Tornado,PASCO,4/7/2016,4:51:00,0,0,0,0,EF0,3.08,JASMINE ESTATES,"$100,000.00 ",$0.00 ,0
LOUISIANA,Tornado,ST. HELENA,3/31/2016,4:55:00,0,0,0,0,EF1,0.18,GREENSBURG,$0.00 ,$0.00 ,1
LOUISIANA,Tornado,TANGIPAHOA,3/31/2016,5:05:00,0,0,0,0,EF1,4.6,FLUKER,$0.00 ,$0.00 ,1
KANSAS,Tornado,SEWARD,12/25/2016,8:55:00,0,0,0,0,EF0,0.65,KISMET,$0.00 ,$0.00 ,0
ALABAMA,Tornado,COVINGTON,2/15/2016,17:00:00,1,0,0,0,EF1,4.53,SOUTH,"$100,000.00 ",$0.00 ,1
FLORIDA,Tornado,LEE,1/9/2016,18:45:00,3,0,0,0,EF2,3.35,MATLACHA,"$2,000,000.00 ",$0.00 ,2
MISSISSIPPI,Tornado,LAMAR,1/21/2016,18:49:00,0,0,0,0,EF2,6.46,OTOB,"$65,000.00 ",$0.00 ,2
MISSISSIPPI,Tornado,COPIAH,1/21/2016,16:26:00,0,0,0,0,EF1,4.33,PEETSVILLE,"$155,000.00 ",$0.00 ,1
FLORIDA,Tornado,MONROE,1/8/2016,6:30:00,0,0,0,0,EF0,0.09,KEY COLONY BEACH,"$2,000.00 ",$0.00 ,0
