state,event_type,county,date,time,in_direct,in_indirect,deaths_direct,deaths_indirect,f_scale,length,location,damage_property,damage_crops,f_scale_values
LOUISIANA,Tornado,RICHLAND,3/30/2022,13:03:00,0,0,0,0,EF0,1.78,DEHLCO,"$50,000.00 ",$0.00 ,0
LOUISIANA,Tornado,FRANKLIN,3/30/2022,13:10:00,0,0,0,0,EF1,6.79,WINNSBORO MUNI ARPT,"$85,000.00 ",$0.00 ,1
MISSISSIPPI,Tornado,CLARKE,3/30/2022,19:01:00,0,0,0,0,EF0,2.13,ENTERPRISE,"$35,000.00 ",$0.00 ,0
MISSISSIPPI,Tornado,ATTALA,3/30/2022,16:36:00,0,0,0,0,EF1,5.71,WILLIAMSVILLE,"$150,000.00 ",$0.00 ,1
MISSISSIPPI,Tornado,RANKIN,3/30/2022,15:50:00,0,0,0,0,EF0,3.29,LUCKNEY,"$30,000.00 ",$0.00 ,0
MISSISSIPPI,Tornado,FORREST,3/30/2022,18:47:00,0,0,0,0,EF0,2.22,BONHOMIE,"$10,000.00 ",$0.00 ,0
MISSISSIPPI,Tornado,HINDS,3/30/2022,14:43:00,0,0,0,0,EF1,4.38,ORANGE HILL,"$10,000.00 ",$0.00 ,1
MISSISSIPPI,Tornado,MADISON,3/22/2022,11:38:00,0,0,0,0,EF0,0.12,SCOTLAND FORK,$100.00 ,$0.00 ,0
MISSISSIPPI,Tornado,ATTALA,3/22/2022,12:14:00,0,0,0,0,EF1,3.35,WEEKS,$0.00 ,"$25,000.00 ",1
MISSISSIPPI,Tornado,SMITH,3/22/2022,13:34:00,0,0,0,0,EF0,1.52,PINEVILLE,$0.00 ,"$2,000.00 ",0
OHIO,Tornado,MIAMI,7/23/2022,9:45:00,0,0,0,0,EF1,1.8,TROY,"$100,000.00 ",$0.00 ,1
TEXAS,Tornado,MONTAGUE,3/21/2022,15:34:00,3,0,0,0,EF1,5.19,FRUITLAND,$0.00 ,$0.00 ,1
MISSISSIPPI,Tornado,MADISON,3/22/2022,11:59:00,0,0,0,0,EF1,6.43,LORING,"$50,000.00 ",$0.00 ,1
MISSISSIPPI,Tornado,CARROLL,3/22/2022,12:16:00,0,0,0,0,EF0,6.34,COILA,"$2,000.00 ","$10,000.00 ",0
MISSISSIPPI,Tornado,NOXUBEE,3/22/2022,14:17:00,0,0,0,0,EF1,11.61,SHUQUALAK,"$55,000.00 ",$0.00 ,1
MISSISSIPPI,Tornado,KEMPER,3/22/2022,13:35:00,0,0,0,0,EF3,9.21,RIO,"$400,000.00 ","$75,000.00 ",3
