state,event_type,county,date,time,in_direct,in_indirect,deaths_direct,deaths_indirect,f_scale,length,location,damage_property,damage_crops,f_scale_values
ALABAMA,Tornado,CHEROKEE,3/25/2021,14:18:00,0,0,0,0,EF0,5.72,GNATVILLE,$0.00 ,$0.00 ,0
ALABAMA,Tornado,GREENE,3/25/2021,14:57:00,0,0,0,0,EF1,12.05,CLINTON,$0.00 ,$0.00 ,1
INDIANA,Tornado,DEARBORN,6/18/2021,20:01:00,0,0,0,0,EF1,0.49,CHESTERVILLE,"$50,000.00 ",$0.00 ,1
MISSISSIPPI,Tornado,HARRISON,8/29/2021,5:23:00,0,0,0,0,EF1,2.13,PASS CHRISTIAN,"$50,000.00 ",$0.00 ,1
IOWA,Tornado,DELAWARE,7/14/2021,18:54:00,0,0,0,0,EF1,1.12,MANCHESTER,$0.00 ,$0.00 ,1
IOWA,Tornado,BENTON,7/14/2021,18:36:00,0,0,0,0,EFU,0.1,GARRISON,$0.00 ,$0.00 ,-1
MISSISSIPPI,Tornado,HARRISON,6/18/2021,23:37:00,0,0,0,0,EF0,0.21,PASS CHRISTIAN,"$50,000.00 ",$0.00 ,0
IOWA,Tornado,JONES,7/14/2021,21:30:00,0,0,0,0,EF1,3.13,CANTON,$0.00 ,$0.00 ,1
IOWA,Tornado,DELAWARE,7/14/2021,18:50:00,0,0,0,0,EF1,1.39,COFFINS GROVE PARK,$0.00 ,$0.00 ,1
IOWA,Tornado,JONES,7/14/2021,20:44:00,0,0,0,0,EF1,1.8,LANGWORTHY,$0.00 ,$0.00 ,1
KENTUCKY,Tornado,LEWIS,6/11/2021,18:09:00,0,0,0,0,EF0,0.16,RIBOLT,"$20,000.00 ",$0.00 ,0
FLORIDA,Tornado,ST. JOHNS,2/14/2021,14:30:00,0,0,0,0,EF0,0.01,BAKERSVILLE,$0.00 ,$0.00 ,0
FLORIDA,Tornado,COLUMBIA,2/15/2021,16:17:00,0,0,0,0,EF0,0.25,WINFIELD,$0.00 ,$0.00 ,0
IOWA,Tornado,POTTAWATTAMIE,12/15/2021,16:16:00,0,0,0,0,EF0,0.9,LAKE MANAWA,$0.00 ,$0.00 ,0
ALABAMA,Tornado,MARENGO,3/25/2021,18:14:00,0,0,0,0,EF2,9.54,NANAFALIA,$0.00 ,$0.00 ,2
IOWA,Tornado,POTTAWATTAMIE,12/15/2021,16:31:00,0,0,0,0,EF2,6.7,BENTLEY,$0.00 ,$0.00 ,2
IOWA,Tornado,POTTAWATTAMIE,12/15/2021,16:34:00,0,0,0,0,EF1,9.57,MACEDONIA,$0.00 ,$0.00 ,1
IOWA,Tornado,POTTAWATTAMIE,12/15/2021,16:24:00,0,0,0,0,EF2,2.3,WESTON,$0.00 ,$0.00 ,2
IOWA,Tornado,MILLS,12/15/2021,16:31:00,0,0,0,0,EF1,0.63,HENDERSON,$0.00 ,$0.00 ,1
ALABAMA,Tornado,ESCAMBIA,6/19/2021,6:31:00,20,0,0,0,EF2,14.06,BREWTON MUNI ARPT,"$3,200,000.00 ",$0.00 ,2
MISSISSIPPI,Tornado,JACKSON,6/19/2021,4:08:00,0,0,0,0,EF0,0.49,PASCAGOULA,"$15,000.00 ",$0.00 ,0
MISSOURI,Tornado,LINN,10/24/2021,15:40:00,0,0,0,0,EF2,28.19,HECLA,"$250,000.00 ",$0.00 ,2
MISSOURI,Tornado,CLINTON,10/24/2021,14:27:00,0,0,0,0,EF0,0.43,GRIDLEY,$0.00 ,$0.00 ,0
MISSOURI,Tornado,CALDWELL,10/24/2021,14:28:00,0,0,0,0,EF1,4.21,MIRABILE,"$10,000.00 ",$0.00 ,1
KANSAS,Tornado,DONIPHAN,10/24/2021,13:03:00,0,0,0,0,EF0,4.35,MORAY,$0.00 ,$0.00 ,0
