state,event_type,county,date,time,in_direct,in_indirect,deaths_direct,deaths_indirect,f_scale,length,location,damage_property,damage_crops,f_scale_values
WYOMING,Tornado,JOHNSON,6/19/2019,17:56:00,0,0,0,0,EF1,4.09,BUFFALO,"$2,000.00 ",$0.00 ,1
OKLAHOMA,Tornado,TULSA,5/25/2019,23:33:00,0,0,0,0,EF1,6.5,TULSA R L JONES ARPT,"$250,000.00 ",$0.00 ,1
OKLAHOMA,Tornado,CREEK,5/25/2019,23:27:00,0,0,0,0,EF1,5.8,SAPULPA,"$800,000.00 ",$0.00 ,1
NEW MEXICO,Tornado,OTERO,6/4/2019,15:54:00,1,0,0,0,EF1,0.31,BOLES,"$250,000.00 ",$0.00 ,1
LOUISIANA,Tornado,ST. LANDRY,6/6/2019,3:49:00,0,0,0,0,EF1,0.97,BEGGS,"$35,000.00 ",$0.00 ,1
LOUISIANA,Tornado,ST. LANDRY,6/6/2019,4:31:00,0,0,0,0,EF1,1,KROTZ SPGS,"$5,000.00 ",$0.00 ,1
OKLAHOMA,Tornado,OKMULGEE,5/20/2019,21:01:00,0,0,0,0,EF1,4.4,BALD HILL,"$25,000.00 ",$0.00 ,1
SOUTH DAKOTA,Tornado,DEUEL,6/15/2019,17:05:00,0,0,0,0,EF0,0.12,JOHNSONVILLE,$0.00 ,$0.00 ,0
MARYLAND,Tornado,CECIL,6/13/2019,22:02:00,0,0,0,0,EF1,4.56,RED PT,$0.00 ,$0.00 ,1
KENTUCKY,Tornado,TRIGG,6/21/2019,17:22:00,0,0,0,0,EF1,4.35,CADIZ,"$150,000.00 ",$0.00 ,1
PENNSYLVANIA,Tornado,INDIANA,6/16/2019,18:55:00,0,0,0,0,EF1,0.27,COMMODORE,$0.00 ,$0.00 ,1
MINNESOTA,Tornado,COOK,6/18/2019,13:45:00,0,0,0,0,EFU,0.1,MARAIS,$0.00 ,$0.00 ,-1
OKLAHOMA,Tornado,TULSA,5/25/2019,23:51:00,0,0,0,0,EF0,0.9,BROKEN ARROW,"$100,000.00 ",$0.00 ,0
OKLAHOMA,Tornado,OKMULGEE,5/22/2019,17:03:00,0,0,0,0,EF0,0.2,MORRIS,$0.00 ,$0.00 ,0
OKLAHOMA,Tornado,CREEK,5/21/2019,5:08:00,0,0,0,0,EF1,1.6,SAPULPA,$0.00 ,$0.00 ,1
KANSAS,Tornado,HARPER,6/23/2019,2:20:00,0,0,0,0,EFU,0.81,ATTICA,$0.00 ,$0.00 ,-1
KENTUCKY,Tornado,LIVINGSTON,6/23/2019,16:02:00,0,0,0,0,EF1,0.5,SMITHLAND,"$100,000.00 ",$0.00 ,1
KENTUCKY,Tornado,LIVINGSTON,6/23/2019,16:07:00,0,0,0,0,EF1,0.79,VICKSBURG,"$20,000.00 ",$0.00 ,1
OKLAHOMA,Tornado,TULSA,5/18/2019,10:03:00,0,0,0,0,EF0,3.7,GLENPOOL,"$5,000.00 ",$0.00 ,0
SOUTH CAROLINA,Tornado,GREENVILLE,4/14/2019,21:03:00,0,0,0,0,EF1,6.9,FELLOWSHIP XRDS,"$150,000.00 ",$0.00 ,1
OKLAHOMA,Tornado,CREEK,5/25/2019,23:14:00,0,0,0,0,EF1,10.7,BELLVUE,"$250,000.00 ",$0.00 ,1
ALABAMA,Tornado,PIKE,4/14/2019,5:50:00,0,0,0,0,EF0,1,HENDERSON,$0.00 ,$0.00 ,0
ALABAMA,Tornado,PIKE,4/14/2019,5:57:00,0,0,0,0,EF0,1.09,GOSHEN,$0.00 ,$0.00 ,0
OKLAHOMA,Tornado,TULSA,5/21/2019,5:29:00,0,0,0,0,EF0,0.4,TULSA,$0.00 ,$0.00 ,0
KANSAS,Tornado,HARPER,6/23/2019,2:37:00,0,0,0,0,EFU,0.56,HARPER,$0.00 ,$0.00 ,-1
IOWA,Tornado,DELAWARE,6/9/2019,15:04:00,0,0,0,0,EFU,3.53,MASONVILLE,$0.00 ,$0.00 ,-1
IOWA,Tornado,LINN,6/9/2019,15:24:00,0,0,0,0,EFU,6.43,CENTRAL CITY,$0.00 ,$0.00 ,-1
IOWA,Tornado,BUCHANAN,6/9/2019,14:53:00,0,0,0,0,EFU,3.73,BUFFALO CREEK CO PARK,$0.00 ,$0.00 ,-1
KENTUCKY,Tornado,CHRISTIAN,6/21/2019,17:31:00,0,0,0,0,EF1,7.59,PEEDEE,"$150,000.00 ",$0.00 ,1
KENTUCKY,Tornado,MARSHALL,6/23/2019,16:13:00,0,0,0,0,EF1,0.23,TATUMSVILLE,"$1,000,000.00 ",$0.00 ,1
MONTANA,Tornado,PHILLIPS,6/27/2019,18:10:00,0,0,0,0,EF0,0.11,ZORTMAN,$0.00 ,$0.00 ,0
SOUTH DAKOTA,Tornado,BENNETT,6/29/2019,13:35:00,0,0,0,0,EF1,5.82,ALLEN,$0.00 ,$0.00 ,1
WYOMING,Tornado,CROOK,6/25/2019,18:56:00,0,0,0,0,EF1,5.28,NEW HAVEN,$0.00 ,$0.00 ,1
WYOMING,Tornado,CROOK,6/25/2019,19:02:00,0,0,0,0,EF1,5.37,NEW HAVEN,$0.00 ,$0.00 ,1
